id,text,course,teacher,label,topics,language,source,source_label
1,"Last assignment is a big jump, but i like it so very much",Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
2,"I enjoyed this course. I only wished I had received some feedback from instructors, or someone qualified to give more substantive feedback on the final assignment. I appreciate the peer review, both doing it and receiving it; however, having some feedback from a qualified evaluator is always a formative experience.",Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
3,An interesting course even if you don't complete the assignments because you can expect to get around an 80% even if you fully grasp the subject matter due to the peer review requirement. The course would be much better without that requirement.,Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
4,I had a hard time finding material to study.I wish the class had more reading material.,Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
5,"Feels like this course in the specialization was a bit rushed, compared to the first 3 courses. It had 2 modules (first & last) that were more like placeholders and the middle 4 modules went from concept to the maths behind the algorithm very quickly. It needs a bit of work on expanding the course and presenting a bit more slowly. Having said all that, the concepts and algorithms taught are very interesting and a good first step into the unsupervised learning section.",Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
6,Only part 3 was partly interesting and usefull. All the rest is vain.,Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
7,"Lightweight and marginally informative. While it is clearly aimed at a lay audience, a deeper presentation of the scientific foundations of the disorder is sorely needed. If you're interested in the etiology of autism, you'll need to look elsewhere.",Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
8,"I think the best quality of this course is that it is a short course, which bolds the most important facts in our mind. It is not like that we don't know them at all, It's just we don't pay much or enough attention.I start using this method from today and I hope it goes well !You should try this course, I think it worth it !",Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
9,"Theis course is substantially more difficult than the three first ones, and the material is scarce. However, I must admit that this is one of the courses I have ever learnt the most",Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
10,"I like the content of the course.However, there are some remarks I want to share.For one of the asssignments I have to create an accout on Soundcloud. I never used it before and do not understand why I should leave somewhere my personal data if I do not plan to use this service in the future. I assume it as direct manipulation and do not like it at all.",Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
11,"I think the professor is clear an concise (I know, the word ""clear"" is not easy to define). The content is very interesting, and definitely relevant. It might be so that I won't use EVERYTHING I learned here in my daily life, but I definitely have tools to provide better arguments, and debate other people's arguments.Some parts of the course are heavy, but with a little bit of effort and dedication, one can follow.",Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
12,No practical knowledge learnd and no clear examples of the topics. Too complex all the course,Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
13,The course is ok but I found that there were some technical quirks that could be ironed out first. Example is to download the text files in the final assignment the command wget is invaluable. How to leave safe mode if the Name node is in safe mode. VirtualBox is default to 32 bit/ubuntu when the image is 64 bit/Centos/Redhat.In addition the course content is a bit little. It says 3 weeks but I finish it in 2 days. Perhaps it is about quality and not quantity.,Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
14,The first three weeks of this course is ok. The last assignment is very poorly structured with uninformative instructions.,Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
15,"Covers a lot of info too fast! Some concepts are not clearly explained , had to surf online to get better understanding. Overall, fine course, very practical.",Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
16,Tiny lectures and no readings from professional books,Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
17,"Some of the ideas discussed are useful & new to me like linear programming and what-if analysis. The content is more suited to this specialization context instead of teaching excel in general so in case you are looking to learn excel, this is not a great course. I didn't like the quizzes, most of the questions added no value. My suggestion to the instructors would be less questions on the quizzes and more relevant to what you teach. I wouldn't complete the course if it wasn't a part of the specialization that I am attending.",Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
18,The teacher was great and it taught me a lot about web data technologies that I heard about but didn't specifically know.,Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
19,The materials covered are not enough to fully explore the topics. Should include much more detailed explanations especially when explaining some of the complex algorithms.,Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
20,"It's ok; worth your time if you are trying to get into philosophy and want part of the proper foundation. Overall I enjoyed it and it was good as a hand-hold through the pre-Socratics and some of the most essential Platonic writings.Pros: the videos are pretty easy to understand, and the material chosen/covered is good to know.Cons: the video quiz questions are really...dull...and there are too many. A downside of the ease of the videos/lectures is that they don't really go that in depth, and they're nowhere near the quality I've seen in other Coursera courses (like the Kierkegaard course from UCopenhagen).",Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
21,Not so comfortable with using Excel.,Coursera Online Course,Coursera Instructor,neutral,,en,coursera,1
22,"Nice course. However I do not understand why javascript is treated in a way that separates it absolutely from its web-related applications (it is treated as a general purpose programming language, which it is nowadays, especially once node.js came to the fore, but still - it is primarily web language and it would be better to treat it as such, even more so when the rest of the course is focused on html and css.",Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
23,"The material on graph analytics was of introductory level. A string of interesting ideas, with unclear explanations. The lesson on GraphX was basically a copy-paste introduction to it's abilities without actually teaching how to use it. The transcripts are full of mistakes. Someone not proficient in English or hard of hearing would be confused by them. It was somewhat difficult to understand the main lecturer. The best part was the explanation of Neo4j - and it was at an introductory level. A disappointment.",Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
24,"The language is clear. The video edition is fine. The mathematical parts were illustrated fantastically. In my case , practice made master, meaning that I saw the videos several times and searched on wikipedia and googled words a few times. Maybe some ideas would've been better understood if it had been included the use of a special software such as AFNI or SPM, that's why I didn't give the five stars to the course.",Coursera Online Course,Coursera Instructor,positive,,en,coursera,2
25,"Very disappointed about this course. The topic is very interesting, for me at least, but the course organization is horrible. Lectures do not provide enough information to complete the assignments. Zero interaction from course staff. Issues with getting assignments graded. In previous session the staff just refered you to the coursera helpdesk, but you cannot easily contact coursera directly.Main focus of course seems to be earning money and not educating. Be warned and don't pay for this course!I really don't get why this course has so many good reviews.",Coursera Online Course,Coursera Instructor,negative,,en,coursera,0
