id,text,course,teacher,label,source_label
1,"This course is not about Excel or MYSQL. This is only about Probability distribution, binary classification etc. So, if you're interested in learning some Math, this is a great course for you. But certainly not for learning some basic Excel and MYSQL. I am very disappointed and have lost all my money for nothing. I did not learn what I had initially thought I will. I feel cheated, I have lost both time and money at the same time.",Coursera Online Course,Coursera Instructor,negative,0
2,"Unsyncronize subtitle with audio. Please fix thisIMO, I think the video must not too long. (below 10 minutes/video), so lecturer separated it to more segment. And give pop-up quiz in video",Coursera Online Course,Coursera Instructor,negative,0
3,"The most weak part is automatical grading. When structure and semantics are essential, text inside tag is not, guessing if exists space between elements isn't acceptable as well. Also it's difficult to check when long code snippets should be pasted as plan text in short text field. Better to use file uploading with required snippet. For me also not enough accent was on html 5 features with dedicated examples how use new tags and attributes.",Coursera Online Course,Coursera Instructor,neutral,1
4,"Theis course is substantially more difficult than the three first ones, and the material is scarce. However, I must admit that this is one of the courses I have ever learnt the most",Coursera Online Course,Coursera Instructor,positive,2
5,"I was looking for a course that discusses how to think about the data and how to manipulate the data based on the questions you have. This course was more basic and didn't really focus on the many ways of visualizing the data to tell a story. The course did not discuss the pros and cons of each type of visualization (e.g., pie chart vs. line graph vs. column chart etc but of course more complex because we are using tableau) with the type of question and answers you are looking for. This type of content is what I was most interested in.",Coursera Online Course,Coursera Instructor,negative,0
6,"I would not recommend this course. The content is very relevant to the subject matter. However, the lectures are much longer than they need to be, and filled with unnecessary commentary. The instructor often verbally discusses the statistical formula with a few bullets on a slide with the focus on himself. The delivery would be much better if the instructor would put himself in the background and the focus be reoriented on a whiteboard style walk-through of the equation at hand.",Coursera Online Course,Coursera Instructor,negative,0
7,"The professor is very knowledgable. However, the course has too much memorized stuff to remember (especially when students try to finish the tests). One more thing, though at the beginning of the class, the professor notified that Beatles songs won't be played in the class due to copyright reason, but when students really go through the whole class, it is very hard to follow. Isn't music all about feeling? But the class is more like a history class. : (",Coursera Online Course,Coursera Instructor,neutral,1
8,"Interesting, I would have liked to deepen SQL knowledge and practice. The conceptual parti seems a little bit too important.",Coursera Online Course,Coursera Instructor,neutral,1
9,"It´s easy to follow up, well structured.",Coursera Online Course,Coursera Instructor,positive,2
10,Videos from previuos version of the course Reactive programming in Scala makes this course worse prepared. I had impression that it was made rushed from shredded pieces. Assignements are easier than previous,Coursera Online Course,Coursera Instructor,neutral,1
11,"Shame on you University of Houston SystemI did the first three lessons, which are less than average, then went on to quiz 1, after completion, a window appeared to ask me for money to get my results! This information should have been provided when I enrolled! I find that very mis leading.",Coursera Online Course,Coursera Instructor,negative,0
12,"Very good course, give me a basic understanding of SWIFT language.",Coursera Online Course,Coursera Instructor,positive,2
13,"Extremely badly organized, messy, and technical",Coursera Online Course,Coursera Instructor,negative,0
14,Amazing course! One thing I can recommend is maybe a place for time management. Simply because I attempted to use what the course has taught me but I simply didn't have enough time.,Coursera Online Course,Coursera Instructor,positive,2
15,An interesting course even if you don't complete the assignments because you can expect to get around an 80% even if you fully grasp the subject matter due to the peer review requirement. The course would be much better without that requirement.,Coursera Online Course,Coursera Instructor,neutral,1
16,Don't recommend.You're better off skimming through the ableton manual and using the search function to get the answers you want.,Coursera Online Course,Coursera Instructor,negative,0
17,"I don't mean to be harsh, but this course is increibly boring and sluggish. The reading material is heavy, the lecturers speak so slowly and dispassionately that it's impossible to engage with the subject.I'm sure that there is really good content here, but I couldn't find it.",Coursera Online Course,Coursera Instructor,negative,0
18,"Nice form, shallow content. Simply too simple. Beware: upgrade / fee required for last two exams.",Coursera Online Course,Coursera Instructor,negative,0
19,"Covers a lot of info too fast! Some concepts are not clearly explained , had to surf online to get better understanding. Overall, fine course, very practical.",Coursera Online Course,Coursera Instructor,neutral,1
20,"Good course for beginners, but those with higher levels of nutrition knowledge will likely: 1. Find it way too easy; 2. Find that the recipes actually contain rather unhealthy ingredients (e.g., always avoid butter--too unhealthy); and 3. Find the lack of vegetarian, vegan, low-carb, and other diet-lifestyles discouraging.",Coursera Online Course,Coursera Instructor,neutral,1
21,The teacher was great and it taught me a lot about web data technologies that I heard about but didn't specifically know.,Coursera Online Course,Coursera Instructor,positive,2
